Ano,Disciplina,Componente-curricular,Nova Descricao Gerada,imgslug
1°EM,Biologia,1. Bioquímica,"Bioquímica sem mistério: dos compostos da vida ao DNA, entenda a base molecular dos seres vivos em aulas diretas.",1-bioqumica
1°EM,Biologia,2. Citologia,"A fascinante jornada pelo universo celular: descubra estruturas, funções e os mistérios da vida em escala microscópica.",2-citologia
1°EM,Biologia,3. Ecologia,"Descubra como a vida se conecta e se transforma na natureza: ecossistemas, ciclos da matéria e o impacto humano na terra.",3-ecologia
1°EM,Biologia,4. Microbiologia,"Explore o fascinante mundo dos microrganismos e descubra como vírus, bactérias, fungos e protozoários afetam a vida.",4-microbiologia
1°EM,Biologia,5. Histologia,"Descubra os segredos do corpo humano através dos tecidos que sustentam, conectam, movem e comandam tudo.",5-histologia
1°EM,Física,1. Introdução á física,Conheça a ciência que explica o universo — do movimento à energia — e transforme curiosidade em compreensão.,1-introduo-fsica
1°EM,Física,10. Dinâmica impulsiva,"Descubra como forças rápidas mudam tudo: colisões, choques e impulsos que definem o instante.",10-dinmica-impulsiva
1°EM,Física,11. Hidrostática,"Explore os segredos dos líquidos em repouso e como eles sustentam, empurram e surpreendem no dia a dia.",11-hidrosttica
1°EM,Física,12. Hidrodinâmica,"Veja a água em ação e entenda como rios, torneiras e turbinas obedecem às leis do movimento fluido.",12-hidrodinmica
1°EM,Física,13. Introdução à óptica geométrica,"Reflita sobre a luz: trajetórias, reflexos e ilusões que revelam o funcionamento da nossa visão.",13-introduo-ptica-geomtrica
1°EM,Física,14. Espelhos planos,Reflita literalmente: descubra como superfícies planas criam imagens e desafiam nossa percepção do espaço.,14-espelhos-planos
1°EM,Física,15. Espelhos esféricos,"Explore como superfícies curvas revelam imagens, ilusões e segredos sobre a luz no nosso cotidiano.",15-espelhos-esfricos
1°EM,Física,16. Refração da luz,"Luz que muda de direção e revela fenômenos como arco-íris, ilusões e até lentes de aumento.",16-refrao-da-luz
1°EM,Física,17. Lentes esféricas,"Entenda como as lentes ampliam, invertem e corrigem a visão — e moldam nosso olhar sobre o mundo.",17-lentes-esfricas
1°EM,Física,18. Instrumentos ópticos,"Mergulhe nos bastidores da visão com lupas, telescópios e microscópios que ampliam o invisível.",18-instrumentos-pticos
1°EM,Física,2. Cinemática (escalar),"Explore o movimento sem direção: velocidade, espaço e tempo traduzidos em fórmulas e trajetórias simples.",2-cinemtica-escalar
1°EM,Física,3. Cinemática vetorial,"Descubra como direção, sentido e intensidade se unem para descrever o movimento de forma precisa.",3-cinemtica-vetorial
