Ano,Disciplina,Componente-curricular,Nova Descricao Gerada
1°EM,Biologia,1 Bioquímica,"Bioquímica sem mistério: dos compostos da vida ao DNA, entenda a base molecular dos seres vivos em aulas diretas."
1°EM,Biologia,2 Citologia,"A fascinante jornada pelo universo celular: descubra estruturas, funções e os mistérios da vida em escala microscópica."
1°EM,Biologia,3 Ecologia,"Descubra como a vida se conecta e se transforma na natureza: ecossistemas, ciclos da matéria e o impacto humano na terra."
1°EM,Biologia,4 Microbiologia,"Explore o fascinante mundo dos microrganismos e descubra como vírus, bactérias, fungos e protozoários afetam a vida."
1°EM,Biologia,5 Histologia,"Descubra os segredos do corpo humano através dos tecidos que sustentam, conectam, movem e comandam tudo."
1°EM,Física,1 Introdução Á Física,Conheça a ciência que explica o universo — do movimento à energia — e transforme curiosidade em compreensão.
1°EM,Física,10 Dinâmica Impulsiva,"Descubra como forças rápidas mudam tudo: colisões, choques e impulsos que definem o instante."
1°EM,Física,11 Hidrostática,"Explore os segredos dos líquidos em repouso e como eles sustentam, empurram e surpreendem no dia a dia."
1°EM,Física,12 Hidrodinâmica,"Veja a água em ação e entenda como rios, torneiras e turbinas obedecem às leis do movimento fluido."
1°EM,Física,13 Introdução À Óptica Geométrica,"Reflita sobre a luz: trajetórias, reflexos e ilusões que revelam o funcionamento da nossa visão."
1°EM,Física,14 Espelhos Planos,Reflita literalmente: descubra como superfícies planas criam imagens e desafiam nossa percepção do espaço.
1°EM,Física,15 Espelhos Esféricos,"Explore como superfícies curvas revelam imagens, ilusões e segredos sobre a luz no nosso cotidiano."
1°EM,Física,16 Refração Da Luz,"Luz que muda de direção e revela fenômenos como arco-íris, ilusões e até lentes de aumento."
1°EM,Física,17 Lentes Esféricas,"Entenda como as lentes ampliam, invertem e corrigem a visão — e moldam nosso olhar sobre o mundo."
1°EM,Física,18 Instrumentos Ópticos,"Mergulhe nos bastidores da visão com lupas, telescópios e microscópios que ampliam o invisível."
1°EM,Física,2 Cinemática (Escalar),"Explore o movimento sem direção: velocidade, espaço e tempo traduzidos em fórmulas e trajetórias simples."
1°EM,Física,3 Cinemática Vetorial,"Descubra como direção, sentido e intensidade se unem para descrever o movimento de forma precisa."
1°EM,Física,4 Movimento Circular,"Explore trajetórias circulares, rotações e a física por trás de rodas, planetas e turbinas."
1°EM,Física,5 Introdução À Dinâmica,"Entenda por que os corpos se movem ou param: forças, leis e interações que regem o universo."
1°EM,Física,6 Dinâmica No Movimento Curvo,Analise como curvas e forças centrípetas criam trajetórias complexas e movimentos controlados.
1°EM,Física,7 Estática Equilíbrio,Equilibre o conhecimento: descubra como forças e torques mantêm estruturas estáveis e seguras.
1°EM,Física,8 Máquinas Simples,"Explore alavancas, polias e planos inclinados — invenções que ampliam a força e movem o mundo."
1°EM,Física,9 Trabalho E Energia,"Entenda como energia se transforma e como o trabalho conecta força, movimento e eficiência."
1°EM,Literatura,1. O Que É Literatura?,"Descubra a arte de criar com palavras, dar forma a emoções e transformar ideias em experiências."
1°EM,Literatura,2. Prosa E Poesia,Do ritmo à narrativa: mergulhe nas duas formas de expressão que moldam a linguagem literária.
